code,R1,R2,R3,R4,R5,R6,R7,R8,R9
001172.OF,5.82,11.52,4.05,5.82,30.73,30.73,30.73,3.68,5.88
001182.OF,4.13,8.6,2.11,4.13,31.92,31.92,31.92,1.87,4.18
001183.OF,3.55,6.31,1.42,3.55,25.53,25.55,25.55,1.08,3.53
001189.OF,3.71,4.59,1.35,3.71,26.75,26.79,26.81,1.43,3.7
001190.OF,7.76,14.1,6.22,7.77,29.32,29.28,29.29,6.19,7.67
001194.OF,4.07,6.11,3.03,4.08,31.95,31.95,31.95,2.2,4.09
001196.OF,12.43,18.28,4.77,12.43,31.87,31.84,31.84,6.24,12.47
001199.OF,9.88,20.28,5.66,9.88,24.39,24.38,24.39,3.18,9.9
001201.OF,6.24,8.94,2.88,6.24,29.96,29.92,29.94,3.64,6.28
001202.OF,3.81,7.59,3.17,3.81,28.23,28.21,28.22,2.58,3.93
001203.OF,3.16,9.22,1.89,3.15,25.3,25.3,25.3,2.32,3.16
001228.OF,13.39,20.52,8.76,13.39,24.32,24.32,24.32,8.43,13.36
001235.OF,6.07,8.76,2.66,6.07,19.38,19.35,19.38,3.48,6.08
001249.OF,2.49,4.23,1.11,2.49,32.03,32.03,32.03,1.67,2.51
001257.OF,6.23,9.12,2.86,6.23,25.02,25.02,25.02,4.18,6.23
001265.OF,7.18,18.56,2.81,7.18,33.73,33.72,33.72,5.16,7.19
001282.OF,8.47,18.39,2.99,8.46,27.6,27.6,27.6,4.85,8.52
001285.OF,2.03,3.07,1.24,2.04,28.02,28.03,28.03,1.53,2.07
001289.OF,3.91,8.26,2.44,3.91,22.98,22.97,22.98,3.01,3.97
001309.OF,4.87,10.01,3.24,4.87,30.8,30.77,30.79,3.77,4.87
001311.OF,11.22,20,8.75,11.23,34.01,34.01,34.01,6.41,11.19
001312.OF,5.92,7.53,2.73,5.92,24.36,24.36,24.36,2.28,5.89
001314.OF,6.13,6.46,3.86,6.13,33.87,33.87,33.87,2.84,6.13
001316.OF,6.05,12.9,3.43,6.06,29.49,29.49,29.49,3.79,6.03
001324.OF,6.71,12.19,3.49,6.7,25.24,25.23,25.24,3.84,6.71
001329.OF,4.45,7.99,2.66,4.45,27.92,27.92,27.92,3.12,4.61
001331.OF,7.15,10.79,5.32,7.15,26.71,26.71,26.71,4.59,7.18
001334.OF,3.54,6.03,1.61,3.54,24.28,24.28,24.28,1.44,3.53
001335.OF,6.3,13,3.99,6.31,25.52,25.51,25.51,2.57,6.22
001336.OF,5.09,11.55,3.28,5.09,25.37,25.36,25.37,2.84,5.1
001342.OF,3.11,4.64,1.41,3.11,31.04,31.04,31.04,1.83,3.1
001355.OF,10.18,13.57,5.8,10.19,25.63,25.64,25.67,7.92,10.15
001358.OF,14.69,17.19,8.56,14.68,26.64,26.59,26.64,5.56,14.58
001362.OF,4.8,6.37,3.04,4.8,31.75,31.74,31.74,1.26,4.8
001367.OF,8.85,15.27,5.58,8.85,24.25,24.24,24.25,3.16,8.83
001370.OF,10.33,8.76,2.28,10.33,30.43,30.43,30.43,4.1,10.34
001399.OF,8.72,15.21,6.77,8.72,27.79,27.79,27.79,5.55,8.66
001402.OF,5.11,5.81,1.4,5.11,31.8,31.82,31.86,1.42,5.13
001405.OF,5.49,11.08,2.95,5.49,26.31,26.33,26.49,3.27,5.48
001415.OF,9.01,17.55,2.52,9.01,27.37,27.37,27.37,5.18,9
001418.OF,11.16,15.91,7.96,11.16,39.48,39.47,39.49,7.05,11.14
001422.OF,3.7,4.29,3.07,3.71,32.7,32.68,32.68,2.64,3.69
001427.OF,4.83,5.26,2.4,4.83,29.05,29.04,29.04,2.16,4.49
001433.OF,2.18,3.85,0.91,2.19,26.83,26.84,26.83,1.56,2.19
001441.OF,5.94,16.59,3.23,5.95,33.96,33.95,33.96,7.03,6
001443.OF,5.68,6.42,3.61,5.69,34.27,34.26,34.27,3.08,5.69
001447.OF,6.17,13.73,2.67,6.17,21.73,21.72,21.73,3.03,6.14
001453.OF,5.11,9.77,2.2,5.11,25.82,25.82,25.82,1.93,5.24
001464.OF,5.99,10.9,4.41,5.98,31.18,31.18,31.18,2.54,5.97
001470.OF,8.51,13.32,5.69,8.51,28.58,28.58,28.58,4.02,8.55
001485.OF,12.06,15.02,10.51,12.06,27.35,27.35,27.35,7.33,12.03
001488.OF,9.85,15.07,5.97,9.85,30.45,30.45,30.45,6.93,9.88
001499.OF,7.22,9.85,3.14,7.22,31.35,31.15,31.34,2.46,7.21
001506.OF,6.61,30.88,4.52,6.61,32.75,32.74,32.75,4.11,6.62
001522.OF,4.53,7.41,1.92,4.53,25.52,25.52,25.52,2.42,4.55
001524.OF,6.23,16.66,3.19,6.23,24.38,24.38,24.38,2.33,6.31
001530.OF,7.97,13.94,5.98,7.98,24.23,24.21,24.22,4.28,8
001562.OF,5.42,16.12,2.79,5.43,31.87,31.86,31.86,5.98,5.45
001566.OF,6.14,14.85,5.24,6.15,22.69,22.67,22.66,2.77,6.11
001570.OF,4.85,10.22,3.26,4.86,23.32,23.29,23.28,2.99,4.83
001596.OF,4.31,5.1,2.8,4.31,24.86,24.84,24.82,2.69,4.31
001633.OF,5.73,9.17,3.09,5.73,24.38,24.37,24.38,2.49,5.74
001635.OF,6.42,9.72,3.83,6.42,31.88,31.92,31.92,3.64,6.42
001664.OF,13.39,21.99,8.46,13.38,34.26,34.26,34.26,7.63,13.41
001688.OF,5.63,9.41,2.94,5.63,26.72,26.72,26.72,2.12,5.64
001710.OF,6.89,15.21,3.72,6.9,31.13,31.12,31.13,3.63,6.87
001720.OF,3.91,5.31,2.06,3.91,24.84,24.84,24.84,2.57,3.93
001721.OF,9.05,15.28,3.12,9.05,33.14,33.13,33.14,3.6,8.48
001745.OF,4.93,9.36,3.21,4.92,30.07,30.07,30.07,3.42,4.98
001747.OF,6.47,6.03,3.92,6.77,34.73,34.72,34.73,3.44,6.77
001755.OF,6.46,9.32,3.68,6.46,27.88,27.89,27.9,3.5,6.5
001756.OF,5.27,14.68,3.06,5.27,27.55,27.55,27.55,3.28,5.26
001765.OF,6.17,10.16,4.42,6.17,27.29,27.27,27.27,3.5,5.96
001800.OF,13.64,19.07,4.84,13.63,20.8,20.67,20.7,6.25,13.58
001802.OF,4.94,6.53,2.58,4.94,22.98,22.98,22.98,3.67,4.99
001806.OF,1.89,2.35,1.11,1.89,30.02,30.02,30.02,1.43,1.89
001817.OF,2.79,3.78,1.45,2.8,31.32,31.32,31.32,1.61,2.78
001835.OF,1.46,1.83,0.91,1.47,26.49,26.49,26.49,1.01,1.5
001850.OF,6.08,13.8,3.1,6.08,31.07,31.07,31.07,2.33,6.02
001862.OF,5.3,7.79,2.23,5.31,22.53,22.52,22.52,4.3,5.39
001901.OF,9.56,12.74,6.58,9.55,27.19,27.19,27.19,8.77,9.84
001903.OF,8.88,18.57,4.48,8.88,27,27,27,5.67,8.78
001905.OF,11.91,20.99,5.32,11.91,28.87,28.84,28.83,9.16,11.97
001922.OF,8.14,17.1,4.52,8.14,31.39,31.38,31.38,4.6,8.13
001939.OF,6.34,6.66,4.47,6.34,32.05,32.04,32.05,4.56,6.38
001945.OF,6.21,11.88,4.42,6.21,23.51,23.5,23.51,4.67,6.23
002000.OF,6.75,12.51,3.78,6.75,25.76,25.76,25.77,2.98,6.79
002005.OF,8.16,10.73,4.05,8.16,29.45,29.45,29.45,4.46,8.15
002006.OF,3.86,6.7,1.44,3.86,24,23.98,24,2.2,3.95
002009.OF,4.28,9.32,3.07,4.28,26.92,26.91,26.92,2.2,4.29
002015.OF,8.27,9.82,4.41,8.26,24.39,24.37,24.39,4.84,8.26
002018.OF,5.97,10.94,4.66,5.98,32.23,32.23,32.24,1.85,5.91
002025.OF,4.42,7.55,2.74,4.61,32.24,32.23,32.24,2.12,4.63
002027.OF,5.14,6.32,3.02,5.14,29.34,29.34,29.34,2.08,5.19
002049.OF,8.09,10.85,2.16,8.09,21.81,21.81,21.81,4.9,8.16
002054.OF,3.97,6.61,1.95,3.96,33.1,33.09,33.09,1.65,4
002057.OF,4.26,7.02,2.55,4.26,32.76,32.76,32.78,1.93,4.35
002065.OF,15.69,18.76,9.05,15.68,23.88,23.89,23.9,9.51,15.7
002087.OF,6.02,8.68,3.53,6.02,27.7,27.68,27.69,3.67,6.01
002111.OF,9.08,19.05,6.57,9.08,26.15,26.15,26.15,5.39,9.09
002116.OF,5.4,12.72,4.21,5.4,25.81,25.79,25.81,4.11,5.39
002120.OF,6.26,12.18,4.16,6.26,24.06,23.98,24.06,2.8,6.25
002134.OF,5.25,11.76,4.03,5.25,27.92,27.91,27.92,2.04,5.25
002156.OF,5.62,7.65,4.7,5.62,30.36,30.36,30.36,4.38,5.86
002161.OF,11.72,14.74,7.16,11.72,26.45,26.37,26.38,6.75,11.67
002222.OF,5.48,8.1,3.83,5.48,27.86,27.86,27.87,2.95,5.48
002227.OF,5.44,8.63,3.09,5.44,21.69,21.7,21.75,2.09,5.42
002254.OF,8.18,11.81,5.01,8.18,16.07,16.08,16.08,4.82,8.2
002261.OF,8.61,11.89,5.97,8.61,26.74,26.74,26.74,5.52,8.6
002276.OF,14.79,20.85,6.75,14.78,20.85,20.83,20.86,11.66,14.81
002282.OF,7.09,8.62,2.93,7.09,28.47,28.4,28.42,4.03,7.08
002331.OF,5.89,11.82,3.99,5.89,29.86,29.85,29.86,2.6,5.9
002351.OF,4.73,10.86,2.33,4.73,28.92,28.92,28.92,2.25,4.72
002358.OF,9.23,16.8,4.97,9.23,31.85,31.84,31.86,5.85,9.26
002361.OF,3.89,10.43,1.95,3.89,27.11,27.07,27,2.06,3.9
002363.OF,4.85,8.21,2.58,4.85,29.92,29.91,29.92,2.32,4.86
002388.OF,15.37,25.89,8.31,15.36,34.28,34.28,34.28,8.73,15.36
002389.OF,7.69,12.42,3.2,7.69,31.43,31.43,31.43,4.64,7.63
002405.OF,5.51,7.02,1.2,5.52,23.82,23.82,23.82,4.68,5.56
002411.OF,4.22,5.65,2.42,4.22,36.04,36.03,36.06,2.3,4.22
002413.OF,3.87,7.36,3.15,3.87,28.35,28.35,28.35,1.95,3.95
002430.OF,7.82,9.73,2.57,7.81,28.83,28.84,28.84,3.57,7.81
002434.OF,9.08,12.54,5.55,9.08,27.11,27.11,27.11,6.18,9.14
002455.OF,6.56,9.06,5.02,6.56,35.85,35.85,35.85,4.04,6.89
002456.OF,6.06,14.88,3.42,6.06,35.96,35.96,35.96,4.6,6.04
002458.OF,4.83,11.52,3.34,4.83,29.75,29.76,29.78,3.19,4.79
002459.OF,7.09,13.7,4.29,7.09,23.41,23.43,23.47,4.66,7.02
002461.OF,5.05,7.61,2.04,5.05,29.82,29.82,29.84,2.09,5.13
002474.OF,8.62,16.34,1.97,8.62,30.13,30.13,30.13,4.77,8.69
002475.OF,5.11,10.44,3.84,5.1,35,35.03,35.07,3.83,5.49
002489.OF,6.23,12.79,5.18,6.23,29.72,29.71,29.72,4.71,6.16
002490.OF,6.25,13.02,3.47,6.25,24.79,24.78,24.79,3.9,6.23
002498.OF,5.26,8.38,3.81,5.26,27.1,27.1,27.11,3.74,5.19
002501.OF,4.95,12.17,2.93,4.95,31.51,31.5,31.51,3.35,5.13
002502.OF,4.23,8.73,2.07,4.23,28.53,28.53,28.56,1.7,4.32
002514.OF,6.6,10.4,2.03,6.6,28.92,28.92,28.92,1.4,6.61
002518.OF,15.11,20.55,11.75,15.1,31.93,31.92,31.92,6.43,15.2
002521.OF,4.52,7.3,1.85,4.52,25.44,25.44,25.44,1.8,4.53
002535.OF,7.43,14.81,4.37,7.42,32.61,32.61,32.64,4.98,7.56
002574.OF,6.49,10.68,3.2,6.48,25.25,25.25,25.26,4.23,6.51
002586.OF,12.3,23.33,10.03,12.3,33.93,33.93,33.93,7.74,12.36
002600.OF,5.02,7.2,3.79,5.02,20.11,20.2,20.11,2.33,5.05
002602.OF,6.91,21.88,5.48,6.91,31.06,31.05,31.06,4.43,6.9
002612.OF,7.61,11.97,4.68,7.61,25.68,25.68,25.68,5.85,7.74
002614.OF,11.65,19.28,5.41,11.65,28.4,28.4,28.41,7.63,11.66
002616.OF,10.17,11.74,4.94,10.16,29.17,29.16,29.16,3.8,10.21
002618.OF,5.85,8.82,3.83,5.84,32.68,32.69,32.71,2.52,5.92
002622.OF,11.05,27.44,5.81,11.05,31.99,31.99,32,8.14,11.03
002636.OF,9.96,19.25,5.51,9.97,29.43,29.43,29.43,7.11,10.05
002639.OF,8.17,10.72,4.74,8.17,25.5,25.48,25.49,4.38,8.48
002644.OF,10.28,15.49,6.21,10.28,31.58,31.5,31.58,6.83,10.09
002651.OF,3.69,8.95,2.12,3.69,25.13,25.11,25.12,2.73,3.68
002657.OF,5.76,7.39,3.79,5.76,24.84,24.84,24.84,3.77,5.74
002664.OF,8.55,11.71,3.84,8.55,26.13,26.13,26.17,3.47,8.58
002690.OF,9.33,14.8,4.64,9.32,27.92,27.9,27.91,7,9.3
002701.OF,3.93,8.62,2.44,3.93,25.99,25.96,25.97,2.8,3.93
002711.OF,7.3,17.41,2.67,7.29,26.6,26.6,26.6,4.71,7.28
002714.OF,7.7,11.89,5.06,7.7,22.32,22.31,22.32,4.99,7.77
002720.OF,6.53,11.95,3.45,6.53,28.73,28.77,28.81,3.79,6.38
002723.OF,5.5,8.51,3.59,5.49,21.7,21.7,21.71,4.09,5.51
002728.OF,4.2,5.2,2.36,4.2,29.54,29.53,29.54,2.47,4.24
002734.OF,4.31,11.57,2.46,4.31,16.65,16.64,16.64,1.96,4.31
002738.OF,3.92,5.25,1.35,3.93,34.27,34.27,34.27,1.53,3.93
002749.OF,10.21,16.93,5.1,10.21,24.99,24.99,24.99,7.89,10.25
002767.OF,3.08,5.46,1.87,3.08,25.66,25.64,25.65,2.2,3.11
002776.OF,7.35,17.81,7.65,7.35,29.98,29.98,29.98,4.27,7.3
002783.OF,3.87,7.42,2.99,3.88,22.82,22.82,22.82,3.14,3.98
002792.OF,4.3,5.05,3.02,4.3,33.1,33.1,33.1,2.76,4.28
002796.OF,5.54,7.23,3.13,5.54,24.29,24.29,24.29,4.17,5.54
002813.OF,7.69,14.86,4.6,7.69,22.26,22.18,22.21,3.79,7.72
002819.OF,4.6,5.67,2.57,4.6,28.93,28.93,28.93,1.88,4.57
002826.OF,8.98,16.65,4.12,8.98,21.93,21.89,21.93,6.78,9
002838.OF,15.28,16.3,8.88,15.27,18.03,18.18,18.16,11.13,15.26
002901.OF,5.23,5.75,3.53,5.23,23.3,23.4,23.45,3.47,5.25
002908.OF,8.78,9.1,4.46,8.76,24.87,24.84,24.84,3.95,8.78
002925.OF,7.8,11.86,2.76,7.79,29.11,29.09,29.11,4.13,7.8
002932.OF,5.73,5.39,2.23,5.73,25.72,25.71,25.72,1.78,5.39
002934.OF,4.52,6.71,2.82,4.52,28.86,28.86,28.86,1.54,4.47
002946.OF,7.82,13.19,5.68,7.82,28.85,28.84,28.85,4.01,7.78
002961.OF,3.85,7.3,1.72,3.86,21.52,21.52,21.62,2.11,3.92
002969.OF,5.43,10.74,3.6,5.43,32.35,32.35,32.35,2.44,5.43
002971.OF,9.2,22.67,4.85,9.19,30.07,30.07,30.07,6.2,9.22
002985.OF,13.97,18.72,9.29,13.97,19.06,19.03,19.06,10.66,13.96
002986.OF,4.97,6.6,3.35,4.97,25.39,25.39,25.4,3.04,4.96
003026.OF,12.67,22.57,6.48,12.66,31.74,31.74,31.74,7.73,12.68
003028.OF,7.42,15.14,5.83,7.42,28.74,28.71,28.71,4.43,6.93
003030.OF,4.31,6.4,2.94,4.32,31.08,31.07,31.08,1.73,4.34
003037.OF,7.77,7.59,6.11,7.77,25.02,24.48,25.02,3.13,7.77
003044.OF,2.88,7.38,1.67,2.88,24.95,24.94,24.95,1.89,2.93
003062.OF,8.17,15.61,4.02,8.16,26.76,26.76,26.76,5.6,8.2
003105.OF,8.08,13.05,5.25,8.08,31.14,31.14,31.14,3.66,8.1
003107.OF,5.66,11.66,4.25,5.66,24.22,24.22,24.22,2.9,5.62
003109.OF,4.24,8.78,2.61,4.24,25.29,25.29,25.31,2.47,4.24
003115.OF,8.2,10.71,4.23,8.2,26.81,26.81,26.83,4.54,8.27
003117.OF,7.37,9.76,2.97,7.36,29.18,29.17,29.23,4.17,7.41
003123.OF,16.22,24.79,10.25,16.22,41.66,41.58,41.63,9.59,16.23
003133.OF,6.31,11.27,5.23,6.32,30.64,30.64,30.64,3.71,6.49
003135.OF,4.25,8.65,3.09,4.25,29.82,29.81,29.82,3.08,4.28
003142.OF,4.99,7.18,3.02,4.99,30.11,30.11,30.11,2.48,5
003154.OF,7.84,14.69,5.56,7.84,24.7,24.7,24.7,3.98,7.81
003161.OF,4.25,7.78,1.49,4.25,25.73,25.73,25.74,2.64,4.24
003167.OF,5.21,8.61,4.58,5.21,27.89,27.87,27.89,3.1,5.26
003176.OF,8.36,9.95,2.16,8.36,32.66,32.66,32.66,5.63,8.39
003182.OF,6.96,9,5.1,6.96,32.75,32.75,32.75,4.75,6.97
003186.OF,8.62,14,4.01,8.62,26.63,26.62,26.63,4.18,8.93
003187.OF,6.43,13.26,4.45,6.43,21.56,21.37,21.5,5.09,6.43
003218.OF,7.51,17.08,3.12,7.52,22.52,22.53,22.53,3.05,7.5
003221.OF,14.78,20.09,9.01,14.78,26.15,26.15,26.15,9.24,14.82
003234.OF,4.89,15.03,4.1,4.89,22.94,22.94,22.94,3.52,4.9
003275.OF,3.98,10.03,1.57,3.98,34.28,34.28,34.28,1.54,3.96
003282.OF,2.27,4.73,1.49,2.27,31.46,31.46,31.46,1.19,2.33
003295.OF,4.04,6.46,2.37,4.05,26.28,26.28,26.29,1.77,4.02
003301.OF,7.03,15.48,4.18,7.03,26.26,26.25,26.26,4.19,7.05
003331.OF,8.21,9.9,6.52,8.21,21.28,21.22,21.25,5.46,8.2
003336.OF,5.68,13.28,3.79,5.68,22.72,22.7,22.7,3.75,5.63
003341.OF,10.29,19.44,7.81,10.29,27.24,27.24,27.25,8.26,10.31
003343.OF,4.55,10.51,3.6,4.55,25.74,25.73,25.74,2.7,4.55
003345.OF,7.29,17.11,6.02,7.3,28,27.97,28.01,4.68,7.26
003360.OF,5.17,8.45,3.55,5.17,27.8,27.78,27.8,3.07,5.28
003379.OF,4.11,6.31,2.98,4.11,30.33,30.32,30.33,2.32,4.12
003432.OF,4.36,8.63,2.16,4.36,29.82,29.81,29.82,2.22,4.37
003476.OF,4.59,11.23,3.81,4.59,25.18,25.17,25.18,2.55,4.58
003484.OF,6.21,10.42,4.2,6.21,25.4,25.4,25.4,3.43,6.25
003493.OF,3.79,4.96,2,3.79,31.39,31.41,31.41,1.77,4.02
003495.OF,7.68,10.8,5.54,7.69,28.94,28.93,28.94,3.76,7.59
003502.OF,11.81,13.07,4.41,11.81,27.94,27.94,27.97,7.53,11.78
003504.OF,11.72,12.59,5.54,11.71,23.37,23.37,23.37,6.22,11.71
003591.OF,7.1,7.91,3.04,7.1,29.91,29.9,29.93,2.85,7.09
003603.OF,7.65,13.07,4.51,7.65,31.6,31.6,31.6,2.46,7.62
003612.OF,8.55,10.97,5.86,8.55,25.9,25.89,25.92,4.77,8.54
003626.OF,17.13,26.06,7.73,17.13,33.24,33.23,33.23,6.84,17.11
003628.OF,6.43,13.83,4.77,6.44,30.39,30.36,30.35,4.04,6.46
003637.OF,8.66,15.84,7.12,8.66,19.37,19.38,19.37,2.86,8.65
003663.OF,8.59,14.11,4.03,8.6,25.11,25.12,25.13,3.93,8.3
003680.OF,8.45,23.71,2.33,8.43,31.92,31.91,31.92,3.23,8.52
003692.OF,4.37,7.36,2.76,4.38,30.15,30.15,30.15,3.61,4.45
003704.OF,10.23,18.04,6.6,10.23,26.95,26.95,26.95,6.81,10.16
003734.OF,9.99,18.65,6.76,9.99,28.88,28.69,28.7,7.15,10
003754.OF,6.41,15.72,2.89,6.41,31.93,31.93,31.93,2.61,6.37
003780.OF,11.73,14.8,8.69,11.73,27.45,27.45,27.45,8.28,11.75
003799.OF,6.47,9.45,4.79,6.46,27.22,27.22,27.22,4.85,6.75
003805.OF,6.06,5.24,3.69,6.06,28.82,28.85,28.89,3.7,6.04
003813.OF,6.17,11.98,4.16,6.17,26.46,26.48,26.47,4.47,6.22
003828.OF,7.78,16.45,5.72,7.78,32.62,32.59,32.6,3.08,7.94
003839.OF,7.53,11.53,5.19,7.53,31.16,31.16,31.16,3.12,7.53
003842.OF,6.91,9.09,2.87,6.91,31.93,31.93,31.93,2.98,6.93
003848.OF,5.62,8.04,1.47,5.62,28.45,28.45,28.45,1.81,5.68
003850.OF,9.16,11.48,4.82,9.16,27.44,27.43,27.43,4.23,9.16
003854.OF,10.56,12.79,4.76,10.57,27.27,27.26,27.26,5.91,10.54
003861.OF,5.03,6.34,2.51,5.03,33.67,33.67,33.67,1.85,4.82
003877.OF,11.73,12.48,7.59,11.72,29.06,29.06,29.06,7.22,11.73
003882.OF,7.6,8.67,4.39,7.59,31.3,31.3,31.3,2.91,7.58
003900.OF,6.34,6.92,4.24,6.34,33.82,33.81,33.88,4.74,6.35
003950.OF,6.14,9.58,4.05,6.15,25.01,25.01,25.01,4.84,6.15
003966.OF,7.53,11.49,4.76,7.54,30.1,30.1,30.1,4.81,7.54
004005.OF,16.05,18.7,10.67,16.05,28.14,28.13,28.15,10.02,15.99
004010.OF,7.05,13.85,3.04,7.05,27.17,27.17,27.17,3.31,7.04
004024.OF,5.54,11.28,3.79,5.54,18.27,18.24,18.27,4.19,5.53
004025.OF,10.91,16.51,5.31,10.9,28.24,28.22,28.24,3.66,10.88
004081.OF,12.29,27.1,8.21,12.29,36.35,36.35,36.35,10.26,12.37
004083.OF,6.8,8.87,4.16,6.8,24.12,24.12,24.12,4.31,6.89
004093.OF,9.49,17.6,3.77,9.49,24.79,24.79,24.8,5.69,9.42
004100.OF,5.74,8.04,4.15,5.74,31.56,31.56,31.56,2.99,5.77
004129.OF,6.31,13.56,3.9,6.32,22.8,22.8,22.8,3.29,6.29
004131.OF,11.19,21.72,6.6,11.18,26.26,26.25,26.25,6.19,11.13
004149.OF,5.41,8.08,2.42,5.41,23.92,23.92,23.92,3.22,5.43
004153.OF,4.82,6.15,3.56,4.83,26.29,26.29,26.29,3.24,4.84
004157.OF,9.08,9.95,1.37,9.08,30.2,30.22,30.26,4.15,9.08
